AccidentSeverity,Region,LightCondition,WeatherCondition,AccidentMonth,AccidentDay,Accidents
Fatal,North West,Daylight,Fine,March,Wednesday,1
Serious,North West,Daylight,Raining,February,Friday,1
Fatal,North West,Darkness - lights lit,Fine,March,Friday,1
Fatal,North West,Darkness - lights lit,Fine,March,Saturday,1
Fatal,North West,Daylight,Fine,March,Sunday,1
Fatal,North West,Darkness - lights lit,Fine,March,Sunday,1
Serious,North West,Darkness - lights lit,Other,February,Monday,1
Slight,North West,Darkness - lights lit,Fine + high winds,February,Wednesday,1
Slight,North West,Darkness - lights unlit,Fine,February,Monday,1
Slight,North West,Daylight,Raining heavily,February,Tuesday,1
Slight,North West,Darkness - lights lit,Other,April,Friday,1
Slight,North West,Darkness - lighting unknown,Fine,February,Saturday,1
Slight,North West,Daylight,Raining,April,Monday,5
Slight,North West,Darkness - lighting unknown,Fine,February,Thursday,1
Serious,North West,Darkness - lights lit,Raining,April,Tuesday,1
Serious,North West,Darkness - lights lit,Raining,February,Saturday,1
Slight,North West,Darkness - lighting unknown,Fine,March,Tuesday,2
Slight,North West,Darkness - lighting unknown,Other,March,Sunday,1
Slight,North West,Daylight,Other,March,Sunday,1
Slight,North West,Darkness - lighting unknown,Fine,March,Monday,1
Slight,North West,Darkness - lighting unknown,Unknown,April,Monday,1
Fatal,North West,Darkness - lights lit,Fine,April,Wednesday,1
Slight,North West,Daylight,Unknown,April,Monday,3
Slight,North West,Daylight,Fog or mist,April,Monday,1
Slight,North West,Darkness - lighting unknown,Fine,March,Wednesday,1
Slight,North West,Daylight,Unknown,April,Wednesday,2
Serious,North West,Darkness - lighting unknown,Fine,April,Friday,1
Fatal,North West,Darkness - lights lit,Raining,May,Sunday,1
Slight,North West,Darkness - no lighting,Fine,April,Friday,2
Slight,North West,Daylight,Raining,April,Friday,1
Fatal,North West,Darkness - lights lit,Fine,May,Thursday,1
Serious,North West,Daylight,Raining,April,Tuesday,2
Fatal,North West,Darkness - lights lit,Fine,May,Saturday,1
Slight,North West,Darkness - lighting unknown,Unknown,April,Tuesday,1
Slight,North West,Daylight,Other,April,Sunday,2
Serious,North West,Darkness - lighting unknown,Unknown,April,Sunday,1
Fatal,North West,Darkness - lights lit,Fine,May,Friday,1
Serious,North West,Darkness - lights lit,Raining,April,Monday,1
Fatal,North West,Darkness - lights lit,Raining,May,Wednesday,1
Slight,North West,Daylight,Unknown,May,Tuesday,3
Serious,North West,Darkness - lights lit,Fine,April,Monday,1
Slight,North West,Daylight,Raining,May,Saturday,1
Serious,North West,Daylight,Other,May,Friday,1
Slight,North West,Darkness - lighting unknown,Fine,May,Tuesday,1
Fatal,North West,Darkness - lights lit,Fine,June,Sunday,1
Slight,North West,Darkness - lights lit,Unknown,May,Sunday,1
Slight,North West,Daylight,Fine + high winds,April,Saturday,1
Slight,North West,Darkness - lighting unknown,Fine,May,Saturday,1
Slight,North West,Darkness - lighting unknown,Fine,June,Sunday,1
Serious,North West,Darkness - lights lit,Other,June,Sunday,1
Serious,North West,Darkness - lighting unknown,Raining,June,Wednesday,1
Slight,North West,Daylight,Other,May,Monday,1
Fatal,North West,Daylight,Fine,June,Sunday,1
Slight,North West,Darkness - lights lit,Unknown,June,Monday,1
Serious,North West,Darkness - lights unlit,Fine,June,Monday,1
Slight,North West,Darkness - lights unlit,Fine,June,Wednesday,1
Serious,North West,Darkness - lighting unknown,Fine,June,Wednesday,1
Serious,North West,Darkness - lights lit,Fine,April,Tuesday,1
Serious,North West,Daylight,Fine + high winds,June,Sunday,1
Slight,North West,Daylight,Fine + high winds,June,Monday,1
Serious,North West,Darkness - lights lit,Raining,July,Friday,1
Fatal,North West,Daylight,Fine,July,Friday,1
Fatal,North West,Darkness - lights lit,Fine,July,Tuesday,1
Fatal,North West,Daylight,Fine,July,Tuesday,1
Slight,North West,Darkness - lighting unknown,Fine,March,Friday,1
Fatal,North West,Darkness - lights lit,Fine,July,Wednesday,1
Fatal,North West,Darkness - no lighting,Raining,July,Friday,1
Slight,North West,Daylight,Other,July,Friday,1
Serious,North West,Darkness - lights lit,Raining,July,Monday,1
Serious,North West,Daylight,Unknown,July,Thursday,1
Serious,North West,Darkness - lights lit,Other,July,Sunday,1
Serious,North West,Darkness - no lighting,Fine,July,Saturday,2
Fatal,North West,Darkness - lights lit,Fine,July,Friday,1
Serious,North West,Darkness - lights lit,Raining,July,Sunday,1
Serious,North West,Darkness - lights lit,Fine,August,Tuesday,3
Slight,North West,Daylight,Raining,August,Friday,4
Slight,North West,Darkness - lights lit,Raining,July,Sunday,1
Fatal,North West,Darkness - lights lit,Fine,August,Friday,1
Serious,North West,Daylight,Unknown,August,Saturday,1
Slight,North West,Daylight,Other,August,Sunday,1
Fatal,North West,Darkness - lights lit,Fine + high winds,August,Tuesday,1
Fatal,North West,Daylight,Fine,September,Thursday,1
Slight,North West,Darkness - lights lit,Raining,August,Wednesday,1
Serious,North West,Darkness - lights lit,Fine,September,Sunday,5
Slight,North West,Daylight,Other,August,Thursday,1
Serious,North West,Darkness - lights lit,Raining,September,Friday,1
Serious,North West,Daylight,Other,September,Monday,1
Fatal,North West,Darkness - lights lit,Fine,September,Friday,1
Slight,North West,Darkness - lights lit,Other,September,Saturday,1
Slight,North West,Darkness - lights unlit,Fine,September,Sunday,1
Fatal,North West,Darkness - lights lit,Fine,October,Sunday,2
Slight,North West,Darkness - lights lit,Unknown,September,Thursday,1
Serious,North West,Darkness - lights lit,Raining heavily,October,Tuesday,1
Serious,North West,Darkness - lights lit,Raining,October,Friday,2
Serious,North West,Darkness - lights unlit,Fine,October,Sunday,1
Slight,North West,Daylight,Fine + high winds,September,Friday,1
Slight,North West,Darkness - lights lit,Raining,September,Thursday,1
Slight,North West,Darkness - no lighting,Raining heavily,October,Friday,1
Serious,North West,Darkness - no lighting,Fine,October,Thursday,1
Serious,North West,Darkness - lights lit,Fine + high winds,October,Tuesday,1
Serious,North West,Darkness - lights unlit,Fine,October,Tuesday,1
Fatal,North West,Darkness - lights unlit,Other,October,Monday,1
Fatal,North West,Darkness - lights lit,Fine,October,Friday,1
Slight,North West,Darkness - lights unlit,Fine,September,Friday,1
Serious,North West,Daylight,Raining heavily,October,Wednesday,1
Slight,North West,Daylight,Fine + high winds,October,Sunday,2
Slight,North West,Darkness - lights unlit,Fine,October,Monday,1
Serious,North West,Darkness - lights lit,Raining,November,Wednesday,1
Serious,North West,Darkness - lights lit,Raining heavily,November,Wednesday,1
Fatal,North West,Daylight,Fine,November,Friday,1
Serious,North West,Darkness - lighting unknown,Fine,November,Saturday,1
Slight,North West,Darkness - lights lit,Other,October,Wednesday,1
Serious,North West,Darkness - lights unlit,Fine,November,Thursday,1
Serious,North West,Darkness - lights lit,Fine,November,Sunday,4
Serious,North West,Daylight,Raining,November,Tuesday,1
Slight,North West,Darkness - lighting unknown,Fine,November,Wednesday,2
Slight,North West,Daylight,Other,October,Tuesday,1
Slight,North West,Daylight,Unknown,November,Monday,2
Slight,North West,Daylight,Other,October,Friday,2
Serious,North West,Darkness - lights unlit,Raining,November,Wednesday,1
Slight,North West,Daylight,Other,November,Saturday,1
Slight,North West,Darkness - lights lit,Other,November,Sunday,1
Fatal,North West,Darkness - lights lit,Fine,December,Sunday,1
Fatal,North West,Darkness - lights lit,Raining,December,Monday,1
Slight,North West,Darkness - lighting unknown,Raining,November,Friday,1
Serious,North West,Darkness - lights lit,Other,December,Wednesday,1
Serious,North West,Darkness - lights lit,Snowing,December,Saturday,2
Serious,North West,Darkness - lights unlit,Raining,December,Saturday,1
Slight,North West,Darkness - lights lit,Fog or mist,December,Thursday,1
Slight,North West,Darkness - lights lit,Fine + high winds,December,Monday,1
Slight,North West,Darkness - lights lit,Other,November,Thursday,1
Slight,North West,Darkness - lighting unknown,Fine,November,Saturday,2
Fatal,North West,Daylight,Fine,December,Friday,1
Serious,North West,Darkness - lights lit,Unknown,December,Friday,1
Fatal,North West,Daylight,Raining,December,Friday,2
Serious,North West,Daylight,Raining,December,Sunday,1
Serious,North West,Daylight,Raining heavily,December,Sunday,1
Serious,North West,Darkness - lights lit,Raining heavily,December,Monday,1
Serious,North West,Darkness - lights lit,Raining,December,Thursday,1
Serious,North West,Darkness - lights lit,Raining,December,Wednesday,2
Slight,North West,Darkness - lights lit,Raining,December,Thursday,1
Serious,North West,Daylight,Other,December,Sunday,1
Slight,North West,Darkness - lights lit,Unknown,December,Sunday,1
Serious,North West,Darkness - lighting unknown,Fine,December,Sunday,1
Slight,North West,Darkness - lights lit,Unknown,December,Thursday,1
Slight,North West,Darkness - lights lit,Other,December,Tuesday,1
Slight,North West,Darkness - lights unlit,Raining,December,Wednesday,1
Slight,North West,Darkness - lights unlit,Fine,December,Sunday,1
Slight,North West,Darkness - no lighting,Fine,January,Monday,4
Slight,North West,Daylight,Raining,January,Monday,1
Slight,North West,Darkness - no lighting,Other,January,Wednesday,1
Slight,North West,Darkness - lighting unknown,Raining,January,Thursday,1
Slight,North West,Daylight,Raining heavily,January,Friday,1
Slight,North West,Darkness - no lighting,Other,January,Friday,1
Slight,North West,Darkness - lighting unknown,Raining heavily,January,Saturday,1
Slight,North West,Darkness - no lighting,Snowing + high winds,January,Saturday,1
Serious,North West,Darkness - no lighting,Fine,January,Monday,1
Slight,North West,Darkness - lighting unknown,Raining,January,Monday,1
Fatal,North West,Darkness - no lighting,Fine,January,Tuesday,1
Slight,North West,Darkness - lights lit,Fog or mist,January,Saturday,1
Slight,North West,Darkness - lighting unknown,Unknown,January,Saturday,1
Serious,North West,Darkness - lighting unknown,Fog or mist,January,Monday,1
Slight,North West,Daylight,Other,January,Tuesday,1
Slight,North West,Darkness - no lighting,Raining,January,Tuesday,1
Slight,North West,Darkness - lighting unknown,Fine,January,Thursday,2
Slight,North West,Darkness - lights lit,Raining,January,Friday,1
Slight,North West,Daylight,Raining heavily,January,Saturday,1
Slight,North West,Darkness - lights lit,Fine + high winds,January,Monday,1
Slight,North West,Darkness - no lighting,Raining heavily,January,Monday,1
Serious,North West,Darkness - lights lit,Other,February,Tuesday,1
Serious,North West,Daylight,Other,February,Tuesday,1
Serious,North West,Darkness - lights lit,Unknown,February,Wednesday,1
Slight,North West,Darkness - no lighting,Raining,February,Sunday,1
Slight,North West,Darkness - lights lit,Fine + high winds,February,Saturday,1
Slight,North West,Darkness - lights unlit,Fine,February,Sunday,1
Slight,North West,Darkness - lights lit,Unknown,February,Tuesday,2
Slight,North West,Darkness - no lighting,Unknown,February,Wednesday,1
Slight,North West,Darkness - lighting unknown,Raining heavily,February,Sunday,1
Serious,North West,Daylight,Unknown,February,Monday,1
Fatal,North West,Darkness - lights lit,Fine,February,Thursday,1
Serious,North West,Darkness - lighting unknown,Fine,March,Saturday,1
Slight,North West,Darkness - no lighting,Fine,March,Saturday,1
Slight,North West,Darkness - lights lit,Unknown,March,Thursday,1
Fatal,North West,Darkness - lights lit,Fine,March,Thursday,1
Serious,North West,Daylight,Other,March,Saturday,1
Slight,North West,Darkness - no lighting,Fine,April,Sunday,2
Slight,North West,Darkness - lights unlit,Raining,April,Monday,1
Slight,North West,Daylight,Unknown,April,Thursday,1
Slight,North West,Darkness - no lighting,Fine,April,Thursday,2
Fatal,North West,Darkness - lights lit,Fine,April,Sunday,1
Slight,North West,Darkness - lighting unknown,Fine,April,Sunday,1
Slight,North West,Darkness - no lighting,Fine,April,Wednesday,1
Slight,North West,Darkness - lighting unknown,Fine,April,Friday,1
Slight,North West,Daylight,Unknown,April,Tuesday,1
Slight,North West,Darkness - no lighting,Fine,May,Friday,1
Slight,North West,Daylight,Raining heavily,May,Friday,1
Fatal,North West,Darkness - lights lit,Raining,May,Friday,1
Fatal,North West,Daylight,Raining,May,Wednesday,1
Fatal,North West,Daylight,Fine,May,Tuesday,1
Serious,North West,Daylight,Other,May,Saturday,1
Serious,North West,Darkness - no lighting,Other,May,Saturday,1
Slight,North West,Darkness - no lighting,Fine,June,Saturday,1
Serious,North West,Darkness - no lighting,Fine,June,Saturday,1
Slight,North West,Darkness - no lighting,Raining,June,Wednesday,1
Slight,North West,Daylight,Fine + high winds,June,Saturday,1
Slight,North West,Darkness - lighting unknown,Unknown,June,Saturday,1
Slight,North West,Darkness - no lighting,Fine,June,Wednesday,1
Fatal,North West,Daylight,Fine,June,Thursday,1
Slight,North West,Darkness - lighting unknown,Fine,June,Saturday,1
Slight,North West,Darkness - no lighting,Raining heavily,July,Tuesday,1
Serious,North West,Daylight,Unknown,July,Wednesday,1
Slight,North West,Darkness - lighting unknown,Fine,July,Saturday,1
Serious,North West,Darkness - lighting unknown,Fine,July,Sunday,1
Fatal,North West,Daylight,Fine,July,Monday,1
Slight,North West,Daylight,Unknown,July,Friday,1
Serious,North West,Darkness - no lighting,Fine,July,Tuesday,1
Slight,North West,Darkness - no lighting,Fine,July,Thursday,1
Slight,North West,Daylight,Raining,July,Thursday,1
Slight,North West,Darkness - lighting unknown,Fine,July,Thursday,1
Slight,North West,Darkness - no lighting,Fine,August,Sunday,2
Slight,North West,Darkness - lighting unknown,Fine,August,Monday,1
Serious,North West,Daylight,Unknown,August,Tuesday,1
Serious,North West,Darkness - no lighting,Raining,August,Tuesday,1
Slight,North West,Darkness - no lighting,Raining,August,Wednesday,1
Fatal,North West,Daylight,Fine,August,Thursday,1
Fatal,North West,Daylight,Fine,August,Tuesday,1
Slight,North West,Darkness - no lighting,Fine,September,Monday,2
Slight,North West,Darkness - lights lit,Unknown,September,Monday,1
Serious,North West,Darkness - lighting unknown,Fine,August,Saturday,1
Slight,North West,Daylight,Other,September,Monday,1
Slight,North West,Darkness - lighting unknown,Fine,September,Wednesday,1
Slight,North West,Darkness - lights unlit,Raining,September,Thursday,1
Slight,North West,Darkness - lighting unknown,Raining,September,Thursday,1
Fatal,North West,Daylight,Fine,September,Friday,1
Slight,North West,Darkness - no lighting,Unknown,September,Saturday,1
Slight,North West,Daylight,Fog or mist,September,Wednesday,1
Slight,North West,Darkness - lighting unknown,Fine,September,Friday,1
Serious,North West,Darkness - lights lit,Unknown,September,Friday,1
Slight,North West,Darkness - lighting unknown,Other,October,Saturday,1
Serious,North West,Daylight,Raining,October,Sunday,1
Serious,North West,Darkness - no lighting,Raining,October,Sunday,1
Slight,North West,Daylight,Raining,October,Monday,1
Slight,North West,Darkness - no lighting,Fine,October,Monday,1
Slight,North West,Daylight,Unknown,October,Wednesday,1
Slight,North West,Darkness - no lighting,Fine + high winds,October,Wednesday,1
Slight,North West,Daylight,Unknown,October,Sunday,1
Slight,North West,Darkness - lights lit,Unknown,October,Sunday,1
Serious,North West,Darkness - no lighting,Raining heavily,October,Tuesday,1
Serious,North West,Darkness - lights unlit,Unknown,October,Thursday,1
Fatal,North West,Darkness - no lighting,Fine,October,Friday,1
Serious,North West,Daylight,Other,October,Saturday,1
Serious,North West,Darkness - no lighting,Fine,October,Sunday,1
Serious,North West,Darkness - lights unlit,Fine,October,Monday,1
Slight,North West,Darkness - lights lit,Raining heavily,October,Monday,1
Slight,North West,Darkness - no lighting,Other,November,Tuesday,1
Slight,North West,Darkness - lights lit,Unknown,November,Thursday,1
Slight,North West,Darkness - no lighting,Raining,November,Friday,1
Serious,North West,Darkness - no lighting,Raining,November,Saturday,2
Slight,North West,Daylight,Unknown,November,Sunday,1
Slight,North West,Darkness - no lighting,Fine + high winds,November,Monday,1
Slight,North West,Darkness - lights unlit,Raining,November,Tuesday,1
Serious,North West,Darkness - no lighting,Fine,November,Tuesday,1
Slight,North West,Darkness - lights lit,Fine + high winds,November,Friday,1
Slight,North West,Daylight,Other,November,Friday,1
Slight,North West,Darkness - lighting unknown,Raining,November,Sunday,1
Fatal,North West,Darkness - lights lit,Raining,November,Tuesday,1
Slight,North West,Darkness - lighting unknown,Unknown,November,Friday,1
Slight,North West,Darkness - no lighting,Raining,November,Thursday,1
Slight,North West,Darkness - lighting unknown,Fine,November,Monday,1
Serious,North West,Darkness - no lighting,Fog or mist,November,Monday,1
Serious,North West,Daylight,Unknown,November,Wednesday,1
Slight,North West,Darkness - no lighting,Other,December,Thursday,1
Serious,North West,Darkness - no lighting,Other,December,Sunday,1
Serious,North West,Darkness - no lighting,Fine,December,Monday,1
Slight,North West,Darkness - no lighting,Fine,December,Tuesday,3
Slight,North West,Darkness - no lighting,Other,December,Tuesday,1
Slight,North West,Darkness - no lighting,Other,December,Wednesday,1
Serious,North West,Darkness - no lighting,Fine + high winds,December,Friday,1
Slight,North West,Darkness - no lighting,Other,December,Monday,2
Slight,North West,Darkness - lighting unknown,Other,December,Sunday,1
Slight,North West,Darkness - lighting unknown,Unknown,December,Friday,1
Slight,North West,Darkness - no lighting,Other,December,Saturday,1
Slight,North West,Darkness - no lighting,Other,December,Sunday,1
Slight,North West,Daylight,Raining heavily,December,Sunday,1
Slight,North West,Darkness - lighting unknown,Fine,December,Monday,1
Slight,North West,Darkness - lights lit,Unknown,December,Tuesday,1
Slight,North West,Darkness - lights lit,Raining heavily,December,Saturday,1
Slight,North West,Darkness - no lighting,Unknown,December,Monday,1
Serious,North West,Daylight,Unknown,December,Monday,1
Slight,North West,Darkness - lights lit,Raining heavily,December,Tuesday,1
Slight,North West,Darkness - no lighting,Raining,December,Tuesday,1
Slight,East Midlands,Daylight,Fine,January,Saturday,25
Slight,East Midlands,Daylight,Other,January,Sunday,3
Slight,East Midlands,Darkness - lights lit,Fine,January,Tuesday,16
Slight,East Midlands,Daylight,Fine,January,Tuesday,32
Slight,East Midlands,Darkness - lights lit,Fine,January,Wednesday,19
Slight,East Midlands,Darkness - no lighting,Other,January,Thursday,1
Slight,East Midlands,Darkness - lights lit,Fine,January,Monday,14
Slight,East Midlands,Darkness - no lighting,Snowing,January,Wednesday,1
Slight,East Midlands,Darkness - lights unlit,Fine,January,Thursday,1
Slight,East Midlands,Darkness - lights lit,Fine,January,Thursday,11
Serious,East Midlands,Darkness - lights lit,Other,January,Thursday,1
Slight,East Midlands,Daylight,Snowing,January,Thursday,3
Serious,East Midlands,Daylight,Snowing,January,Thursday,1
Serious,East Midlands,Darkness - lights lit,Fine,January,Thursday,7
Slight,East Midlands,Daylight,Fine,January,Friday,34
Slight,East Midlands,Darkness - lights lit,Snowing,January,Friday,2
Slight,East Midlands,Darkness - no lighting,Fine,January,Saturday,8
Slight,East Midlands,Daylight,Fine,January,Sunday,24
Slight,East Midlands,Darkness - lights lit,Fine,January,Sunday,11
Slight,East Midlands,Daylight,Fine,January,Monday,30
Serious,East Midlands,Daylight,Fine,January,Tuesday,9
Serious,East Midlands,Darkness - lights lit,Fine,January,Tuesday,5
Slight,East Midlands,Daylight,Fine,January,Wednesday,36
Serious,East Midlands,Daylight,Fine,January,Thursday,10
Slight,East Midlands,Daylight,Raining,January,Thursday,4
Serious,East Midlands,Daylight,Fine,January,Friday,9
Slight,East Midlands,Daylight,Fog or mist,January,Friday,3
Slight,East Midlands,Darkness - lights lit,Fine,January,Saturday,19
Serious,East Midlands,Darkness - lights lit,Other,January,Sunday,1
Slight,East Midlands,Daylight,Unknown,January,Saturday,5
Slight,East Midlands,Darkness - lights lit,Fine,January,Friday,18
Serious,East Midlands,Daylight,Fine,January,Monday,9
Slight,East Midlands,Daylight,Unknown,January,Tuesday,5
Slight,East Midlands,Daylight,Other,January,Monday,3
Slight,East Midlands,Darkness - no lighting,Fine,January,Monday,6
Slight,East Midlands,Darkness - lights lit,Other,January,Tuesday,3
Slight,East Midlands,Darkness - no lighting,Fine,January,Wednesday,7
Slight,East Midlands,Daylight,Raining,January,Wednesday,2
Slight,East Midlands,Daylight,Fine,January,Thursday,33
Slight,East Midlands,Daylight,Unknown,January,Monday,8
Slight,East Midlands,Daylight,Unknown,January,Friday,6
Slight,East Midlands,Daylight,Unknown,January,Sunday,2
Slight,East Midlands,Darkness - lighting unknown,Fine,January,Saturday,4
Fatal,East Midlands,Darkness - lights lit,Fine,January,Saturday,2
Slight,East Midlands,Darkness - no lighting,Fog or mist,January,Monday,1
Slight,East Midlands,Darkness - lights lit,Unknown,January,Sunday,2
Slight,East Midlands,Daylight,Snowing,January,Friday,1
Serious,East Midlands,Daylight,Fine,January,Sunday,8
Slight,East Midlands,Daylight,Other,January,Thursday,3
Slight,East Midlands,Darkness - lights lit,Raining,January,Friday,3
Serious,East Midlands,Daylight,Other,January,Thursday,1
Slight,East Midlands,Darkness - no lighting,Unknown,January,Sunday,1
Serious,East Midlands,Daylight,Raining,January,Wednesday,2
Slight,East Midlands,Darkness - lights lit,Unknown,January,Wednesday,1
Slight,East Midlands,Darkness - lights lit,Unknown,January,Thursday,3
Slight,East Midlands,Darkness - no lighting,Fine,January,Thursday,10
Serious,East Midlands,Darkness - lights lit,Fine,January,Sunday,4
Serious,East Midlands,Darkness - no lighting,Fine,January,Monday,4
Serious,East Midlands,Darkness - no lighting,Other,January,Saturday,1
Slight,East Midlands,Darkness - no lighting,Fine,January,Friday,7
Serious,East Midlands,Daylight,Fine + high winds,January,Saturday,1
Serious,East Midlands,Darkness - lights lit,Other,January,Friday,1
Slight,East Midlands,Daylight,Fine + high winds,January,Saturday,3
Slight,East Midlands,Daylight,Fine,February,Tuesday,34
Slight,East Midlands,Daylight,Unknown,February,Tuesday,6
Slight,East Midlands,Daylight,Unknown,January,Wednesday,5
Serious,East Midlands,Darkness - lights unlit,Fine,January,Thursday,2
Serious,East Midlands,Darkness - lights lit,Unknown,January,Wednesday,1
Slight,East Midlands,Daylight,Unknown,January,Thursday,3
Serious,East Midlands,Darkness - lights lit,Unknown,January,Saturday,1
Slight,East Midlands,Darkness - lights lit,Unknown,February,Wednesday,4
Slight,East Midlands,Darkness - lights lit,Raining,February,Wednesday,2
Slight,East Midlands,Daylight,Fine,February,Thursday,27
Serious,East Midlands,Darkness - lights lit,Fine,February,Wednesday,6
Slight,East Midlands,Daylight,Fine + high winds,February,Friday,5
Slight,East Midlands,Darkness - lights lit,Raining,February,Sunday,3
Slight,East Midlands,Darkness - lights lit,Raining heavily,February,Saturday,3
Serious,East Midlands,Daylight,Fine,February,Thursday,10
Slight,East Midlands,Darkness - lights lit,Other,February,Saturday,2
Slight,East Midlands,Darkness - lights lit,Fine,February,Sunday,9
Slight,East Midlands,Daylight,Unknown,February,Sunday,1
Slight,East Midlands,Darkness - lights lit,Fine,February,Monday,8
Serious,East Midlands,Darkness - no lighting,Raining heavily,February,Friday,1
Slight,East Midlands,Daylight,Fine,February,Wednesday,28
Slight,East Midlands,Daylight,Fine,February,Friday,33
Slight,East Midlands,Darkness - lights lit,Fine,February,Saturday,13
Serious,East Midlands,Darkness - lighting unknown,Fine + high winds,February,Sunday,1
Slight,East Midlands,Daylight,Raining,February,Sunday,7
Fatal,East Midlands,Darkness - no lighting,Raining,February,Sunday,1
Serious,East Midlands,Daylight,Fine,February,Friday,7
Serious,East Midlands,Daylight,Raining,February,Tuesday,1
Serious,East Midlands,Daylight,Raining,February,Monday,1
Slight,East Midlands,Daylight,Fine,February,Saturday,20
Slight,East Midlands,Daylight,Raining,February,Tuesday,6
Slight,East Midlands,Darkness - no lighting,Fine,January,Tuesday,7
Slight,East Midlands,Darkness - lights lit,Unknown,February,Tuesday,3
Slight,East Midlands,Daylight,Unknown,February,Wednesday,3
Slight,East Midlands,Daylight,Unknown,February,Thursday,4
Slight,East Midlands,Daylight,Raining,February,Friday,5
Serious,East Midlands,Darkness - no lighting,Fine,February,Wednesday,2
Slight,East Midlands,Darkness - lights lit,Unknown,February,Friday,5
Slight,East Midlands,Daylight,Fine + high winds,February,Saturday,2
Slight,East Midlands,Darkness - lights lit,Raining,February,Saturday,2
Slight,East Midlands,Daylight,Unknown,February,Saturday,3
Slight,East Midlands,Daylight,Raining heavily,February,Sunday,1
Slight,East Midlands,Darkness - no lighting,Raining,January,Monday,1
Slight,East Midlands,Daylight,Raining heavily,February,Wednesday,2
Slight,East Midlands,Daylight,Fine,February,Monday,20
Slight,East Midlands,Darkness - lights lit,Unknown,February,Monday,1
Slight,East Midlands,Darkness - lights lit,Raining,February,Thursday,1
Slight,East Midlands,Darkness - lights lit,Fine,February,Friday,12
Slight,East Midlands,Darkness - lights lit,Unknown,February,Thursday,1
Serious,East Midlands,Darkness - no lighting,Fine,February,Saturday,2
Slight,East Midlands,Darkness - lights lit,Unknown,February,Saturday,3
Slight,East Midlands,Daylight,Raining heavily,February,Saturday,2
Slight,East Midlands,Darkness - no lighting,Fine,February,Saturday,3
Slight,East Midlands,Darkness - lights lit,Fine,February,Tuesday,11
Slight,East Midlands,Darkness - no lighting,Raining,February,Tuesday,1
Slight,East Midlands,Daylight,Fog or mist,February,Tuesday,1
Slight,East Midlands,Darkness - lights lit,Fine,February,Thursday,8
Slight,East Midlands,Darkness - no lighting,Fine,February,Thursday,4
Slight,East Midlands,Darkness - lights lit,Raining heavily,February,Friday,2
Slight,East Midlands,Darkness - lights lit,Snowing + high winds,February,Sunday,1
Slight,East Midlands,Daylight,Raining,February,Thursday,2
Slight,East Midlands,Darkness - lights unlit,Fine,January,Tuesday,1
Serious,East Midlands,Daylight,Fine + high winds,February,Monday,1
Slight,East Midlands,Daylight,Fine + high winds,February,Monday,4
Slight,East Midlands,Darkness - lights lit,Unknown,January,Monday,1
Slight,East Midlands,Darkness - lights lit,Other,February,Wednesday,1
Slight,East Midlands,Darkness - no lighting,Unknown,February,Friday,1
Slight,East Midlands,Daylight,Fine,February,Sunday,11
Serious,East Midlands,Daylight,Other,February,Thursday,1
Slight,East Midlands,Darkness - lights lit,Raining,February,Monday,10
Serious,East Midlands,Darkness - lights lit,Fine,February,Tuesday,5
Slight,East Midlands,Daylight,Raining heavily,February,Friday,3
Slight,East Midlands,Darkness - no lighting,Raining,February,Wednesday,1
Serious,East Midlands,Daylight,Unknown,February,Wednesday,1
Serious,East Midlands,Darkness - lights lit,Unknown,February,Friday,1
Serious,East Midlands,Darkness - lights lit,Raining heavily,February,Saturday,1
Serious,East Midlands,Daylight,Raining heavily,February,Friday,1
Slight,East Midlands,Darkness - lights lit,Unknown,February,Sunday,1
Slight,East Midlands,Darkness - lights lit,Raining heavily,February,Monday,1
Slight,East Midlands,Daylight,Unknown,February,Monday,3
Serious,East Midlands,Darkness - lights lit,Raining,February,Thursday,1
Serious,East Midlands,Daylight,Unknown,February,Saturday,1
Serious,East Midlands,Daylight,Fine,February,Saturday,9
Slight,East Midlands,Daylight,Raining,February,Monday,9
Serious,East Midlands,Daylight,Fine,March,Tuesday,13
Slight,East Midlands,Darkness - lights unlit,Raining,March,Wednesday,1
Slight,East Midlands,Daylight,Raining,March,Wednesday,14
Slight,East Midlands,Daylight,Fine,March,Tuesday,47
Slight,East Midlands,Darkness - lights lit,Other,March,Wednesday,1
Slight,East Midlands,Daylight,Fine,March,Wednesday,34
Slight,East Midlands,Darkness - lights lit,Fine,March,Tuesday,9
Slight,East Midlands,Daylight,Fine,March,Friday,47
Fatal,East Midlands,Daylight,Fine,March,Sunday,4
Serious,East Midlands,Daylight,Fine,March,Monday,14
Serious,East Midlands,Darkness - lights lit,Fine,March,Sunday,3
Slight,East Midlands,Darkness - no lighting,Snowing + high winds,February,Saturday,1
Slight,East Midlands,Darkness - lights lit,Fine,March,Wednesday,11
Slight,East Midlands,Daylight,Unknown,March,Tuesday,3
Slight,East Midlands,Darkness - no lighting,Fine,March,Tuesday,5
Slight,East Midlands,Darkness - lights lit,Unknown,March,Tuesday,1
Slight,East Midlands,Darkness - lights lit,Fine,March,Thursday,11
Slight,East Midlands,Darkness - lighting unknown,Fine,March,Tuesday,2
Slight,East Midlands,Daylight,Fine,March,Thursday,60
Serious,East Midlands,Darkness - no lighting,Fog or mist,March,Friday,1
Slight,East Midlands,Daylight,Unknown,March,Thursday,6
Slight,East Midlands,Daylight,Unknown,March,Friday,4
Slight,East Midlands,Daylight,Fine,March,Saturday,42
